Customer_ID,Gender,FTD,LTD,Customer_Total_value,Total_Orders,Points_earned,Points_redemed
117059307,M,20120615,20120816,796.73,8,95,95
120580270,unknown,20120821,20121122,224.9,2,90,0
128547103,M,20130108,20130116,1553.2,2,595,0
119360216,unknown,20120813,20130121,530.99,5,230,0
119009108,unknown,20120717,20120817,247.13,2,123,0
6524668,M,20120103,20130116,492.17,5,406,0
6397161,M,20130328,20130328,4388,1,650,0
123828522,M,20121027,20121120,442.5,2,165,0
115523117,F,20121231,20121231,50.5,1,40,0
115160380,unknown,20120322,20120322,128,1,10,0
42868572,M,20120805,20130103,1180.35,11,1133,0
130817734,M,20130302,20130302,46,1,0,0
5586949,M,20120106,20121212,945.82,6,865,0
23655484,F,20120109,20130305,4755.12,27,228,228
85502648,M,20120714,20120714,2599,1,1600,0
6300480,F,20120211,20130328,4751.55,36,2159,1890
124064834,unknown,20121101,20130306,496.88,4,269,0
5567476,M,20120131,20130318,943.9,10,251,251
118305867,unknown,20120704,20130202,935.26,4,870,0
5739815,unknown,20120305,20130122,512.51,8,322,322
115280740,unknown,20121110,20121110,83.16,1,90,0
114704435,M,20120313,20120313,96,1,210,0
90981123,M,20120121,20120121,6499,1,0,0
123940109,unknown,20121102,20121102,3748,1,10,0
124956843,M,20121119,20121121,191.5,2,106,0
121539289,unknown,20121115,20121128,342.1,3,205,0
91160337,M,20120202,20120301,329.58,4,60,0
130878566,M,20130305,20130305,104.9,1,40,0
25815826,M,20120321,20121125,1077.4,6,1630,0
117271021,unknown,20120602,20130126,2304.06,17,1345,0
84430961,F,20120222,20130326,908.59,7,280,280
126365543,F,20121219,20130329,562.9,7,288,160
91185937,M,20120204,20120305,174.2,2,0,0
14769855,M,20120610,20120728,147.5,2,125,0
6932931,F,20120107,20121205,371.86,4,340,0
115672685,unknown,20120417,20130118,1583.17,8,625,0
115373521,unknown,20120731,20120731,15.6,1,20,0
113302623,M,20120216,20120216,181.34,1,95,0
63648120,M,20120207,20130328,5354.28,55,1496,1194
118664007,M,20130222,20130222,111.9,1,100,0
91339689,F,20120829,20130324,821.05,9,335,0
12836743,M,20120105,20130224,737.36,8,266,266
121789720,M,20120918,20120918,66.59,1,35,0
85116452,M,20120405,20120405,279,1,110,0
1855717,M,20121209,20130302,2767,5,197,0
85142994,M,20120203,20130216,805.3,8,400,0
8127074,M,20120803,20120803,103.8,1,40,0
84726820,M,20120702,20121225,330.7,2,257,0
125207014,unknown,20121120,20121120,88.8,1,60,0
91155562,M,20120202,20120307,304.3,4,0,0
115295735,unknown,20120505,20121030,248.9,2,0,0
123714169,unknown,20121029,20121029,43.3,1,10,0
117161914,M,20120529,20120809,184.2,2,100,0
5713732,M,20120503,20120503,99.5,1,0,0
91043340,M,20120416,20130113,805.5,3,230,0
130122535,M,20130219,20130219,336,1,160,0
117056835,M,20120525,20120525,151,1,0,0
119252772,unknown,20120722,20130309,2060.48,16,1220,0
120953999,unknown,20121215,20130113,331.92,2,60,0
114058727,M,20120307,20120307,189,1,10,0
7546744,M,20120924,20120924,268.31,1,205,0
121552180,unknown,20120911,20130108,548.9,3,165,0
115280066,M,20120414,20130107,424.98,6,154,36
119868178,M,20121016,20130331,1007.3,11,605,0
5745290,M,20120211,20120417,224.61,2,405,0
